Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,SL,PROVINCE,PCPTREGION,lowest_depth,soc_tha_lowest_depth,initial_dsm,lowest_depth_difference,first_soc_treatment,soc_dsm_difference,soc_tha_30cm
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1951,1951,2004,RT,31,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1952,1951,2004,RT,47,NA,NA,NA,FAL,FAL,SUMMRF,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1953,1951,2004,RT,45,2.08,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1954,1951,2004,RT,45,0.61,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1955,1951,2004,RT,45,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1957,1951,2004,RT,31,NA,1.78,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1958,1951,2004,RT,47,NA,NA,NA,FAL,FAL,SUMMRF,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1959,1951,2004,RT,45,1.67,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1960,1951,2004,RT,45,0.89,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1961,1951,2004,RT,45,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
